date,year,month,day,day_of_week,week_of_year,season,workout_type,minutes,minutes_raw,miles,pace_min_per_mile,comments,extras,is_race,race_name,race_distance,race_time,source_file
2003-09-14,2003,9,14,Sunday,37,fall,long run,90.03,90:02,11.55,7.7948,Nice run through the Arboretum,,0,,,,fall03log.html
2003-09-15,2003,9,15,Monday,38,fall,run,67.55,67:33,8.0,8.4437,"It's raining, it's pouring...yay!",,0,,,,fall03log.html
2003-09-16,2003,9,16,Tuesday,38,fall,flow miles,,(24) wu/cd,6.5,,"Felt awesome to finish with and encourage a teammate (Karen K) Goal times: [7:20, 7:00, 6:40, 3:10] Actual: [7:23, 6:58, 6:45, 3:05]","sp, Jenna's abs",0,,,,fall03log.html
2003-09-17,2003,9,17,Wednesday,38,fall,run,60.05,60:03,9.3,6.457,,"spb, medball, continuous warmup",0,,,,fall03log.html
2003-09-18,2003,9,18,Thursday,38,fall,intervals,29.92,29:55 wu/cd,6.5,4.6031,"5x1000 @ fenway track, w/200 m surges in the middle: 4:02, 4:02, 3:58, 3:53, 3:53",,0,,,,fall03log.html
2003-09-19,2003,9,19,Friday,38,fall,pre-meet,27.22,27:13,3.0,9.0733,,"spb, medball",0,,,,fall03log.html
2003-09-20,2003,9,20,Saturday,38,fall,,,,7.5,,"All time PR! 37/224 runners. Well, gotta love the pancake-flat course for the 45 second PR! Strange, though, I felt like I raced harder last week. I had some ""moments of indecision"" and maybe gave up a few places. Positive note: Got out really well, had a damn good kick. Splits: 6:08 6:33 6:51 (1.1) -- nice and even!",(41) wu/cd,1,UMass Dartmouth Invitational,5k,19:32,fall03log.html
2003-09-21,2003,9,21,Sunday,38,fall,long run,113.78,1:53:47,13.9,8.1856,"ran w/K^2, didn't even feel long to both of us, came back and added the last mile to make my longest run ever! Looking forward to tomorrow off though, 20 days in a row, man",,0,,,,fall03log.html
2003-09-22,2003,9,22,Monday,39,fall,,,,,,day off!,,0,,,,fall03log.html
2003-09-23,2003,9,23,Tuesday,39,fall,run,48.93,48:56,6.5,7.5277,mileage seems off but that's what the map says-- I'm a little sore all over,,0,,,,fall03log.html
2003-09-24,2003,9,24,Wednesday,39,fall,intervals,32.45,32:27 wu/cd,6.0,5.4083,"3 x [1000 +3 hills] 1000's: 4:04, 4:05, 4:05",sp,0,,,,fall03log.html
2003-09-25,2003,9,25,Thursday,39,fall,run,64.02,64:01,8.0,8.0025,,spb,0,,,,fall03log.html
2003-09-26,2003,9,26,Friday,39,fall,fartlek,43.37,43:22,7.0,6.1957,fartlek felt good; I had fun. Really moving in some parts,Continuous warmup,0,,,,fall03log.html
2003-09-27,2003,9,27,Saturday,39,fall,run,58.12,58:07,7.1,8.1859,"Rosh Hashanah, missed Mini-NEWMACs :-(",,0,,,,fall03log.html
2003-09-28,2003,9,28,Sunday,39,fall,long run,99.92,1:39:55,12.45,8.0257,"Drove out to BC, ran Heartbreak hill (plus 5 others and a mofo)",,0,,,,fall03log.html
2003-09-29,2003,9,29,Monday,40,fall,run,62.02,62:01,7.5,8.2693,"legs are feeling heavy, I iced, ran out of Bengay had to get some from Martha","spb, medball",0,,,,fall03log.html
2003-09-30,2003,9,30,Tuesday,40,fall,flow miles,36.13,36:08 wu/cd,7.5,4.8173,"6:56, 6:49, 6:44, 3:11 First two were supposed to be 7:15, 7:00... oh well",1/2 spb,0,,,,fall03log.html
2003-10-01,2003,10,1,Wednesday,40,fall,run,75.05,75:03,9.0,8.3389,"ran to Bunker (Breed's) Hill, how historic ;-) Played a game and took turns leading around the docks",spb,0,,,,fall03log.html
2003-10-02,2003,10,2,Thursday,40,fall,aquajog,40.05,40:03,,,"Not taking today off would mean another 7 day week, didn't want to do that... didn't want to go overkill on the mileage either",,0,,,,fall03log.html
2003-10-03,2003,10,3,Friday,40,fall,fartlek,71.82,71:49,9.0,7.98,"40' fartlek @ Boston Commons. Got pretty grueling by the end, I'm glad I aquajogged yesterday",sp,0,,,,fall03log.html
2003-10-04,2003,10,4,Saturday,40,fall,long run,90.17,90:10,10.7,8.4271,"Walden Pond, took a dip afterwords, pace was a bit slow but it's nice to relax once in a while. Two long runs this week",,0,,,,fall03log.html
2003-10-05,2003,10,5,Sunday,40,fall,run,53.5,53:30,7.25,7.3793,relaxed recovery run w/Andrea... way too early in the morning,"drills, strides, Jenna's abs, pushups",0,,,,fall03log.html
2003-10-06,2003,10,6,Monday,41,fall,,,,,,"Yom Kippur... no eating, therfore, no running",,0,,,,fall03log.html
2003-10-07,2003,10,7,Tuesday,41,fall,intervals,31.95,31:57 wu/cd,7.0,4.5643,"2x1000, 2x800, 4x400 @ fenway track 3:53, 3:51, 3:04, 3:05, 85,86,87,85 --> hit all the times, feeling strong. I felt like I was just checking off the quarters",spb,0,,,,fall03log.html
2003-10-08,2003,10,8,Wednesday,41,fall,recovery run,59.42,59:25,7.0,8.4886,,"spb, medball",0,,,,fall03log.html
2003-10-09,2003,10,9,Thursday,41,fall,pre-meet,17.15,17:09,2.0,8.575,"3 laps around Briggs field, taking it real easy for tomorrow",,0,,,,fall03log.html
2003-10-10,2003,10,10,Friday,41,fall,,,,7.5,,"Goal coming into today was 19:50, so I can't complain. Franklin PR too. My shoe came untied coming down Bear Cage Hill though and that really threw me off. I'm actually pretty pissed about it; I lost so much focus, debating whether I should stop and tie it, being afraid to run hard because I thought I would lose my shoe, and plus I didn't get to take advantage of the downhills which I'm good at. Could have easily run 5-10 seconds faster without any more effort. That aside though, it was a fun race, I got to see Julie K, my parents were there and Julie's mom was there and it was exciting to get to run with D1 runners. Insanely crowded field, lots of jostling but I held my own. Debuted bunhuggers. Me like. Splits: 6:02 6:38 -- yikes, need to work on that 7:05 *Afterthoughts... checking out the results I am totally stoked on my whole team. Both Karens followed me under the 20:00 mark, that's just awesome. Thinking back actually I'm even stoked on my time, the shoe thing is a bummer but shit, if I ran a 19:32 at UMass Dartmouth and I hit :45 today...that's pretty damn good.",41:11 wu/cd,1,All NE's @ Franklin Park,5k,19:45,fall03log.html
2003-10-11,2003,10,11,Saturday,41,fall,run,67.15,67:09,8.0,8.3938,bridge loop,spb,0,,,,fall03log.html
2003-10-12,2003,10,12,Sunday,41,fall,long run,111.72,1:51:43,13.0,8.5938,"ran over to the BAA half-marathon and did about 11.5 miles on the course. 14:31 to get there, 1:37:12 for ~11.5 miles. Pace, mile 1-11: 8:16/mile, pretty solid. Should have iced after running on the roads so much...oh well",,0,,,,fall03log.html
2003-10-13,2003,10,13,Monday,42,fall,off,,,,,,,0,,,,fall03log.html
2003-10-14,2003,10,14,Tuesday,42,fall,run,55.27,55:16,6.75,8.1881,shins hurting,"spb, medball, 1 set lunges",0,,,,fall03log.html
2003-10-15,2003,10,15,Wednesday,42,fall,fartlek,64.97,64:58,8.0,8.1212,"2 x 600 m ""uphill starts"" +30 minutes fartlek glad it's over-- first workout all season where I just really didn't want to do it. I dunno what's up, a little sore, a little mentally tired, just not feeling it... frickin windy too! 20+ mph apparently. I did score a road sign though",1 set sp,0,,,,fall03log.html
2003-10-16,2003,10,16,Thursday,42,fall,run,42.6,42:36,7.2,5.9167,,"1 set sp, medball, continuous wu",0,,,,fall03log.html
2003-10-17,2003,10,17,Friday,42,fall,pre-meet,32.78,32:47,3.5,9.3657,last 10 min --> indian file,lite sp,0,,,,fall03log.html
2003-10-18,2003,10,18,Saturday,42,fall,,,,9.0,,"Don't quite feel like I raced today...weird feeling I can't explain it. Time and place aside, I just don't feel like I had a good race, but I can't explain why or cite anything specific. Came across mile 1 at 6:10, pretty standard, and then suddenly at 2 miles it was 12:55. Granted it was pretty hilly but I dunno... too many of those short, steep hills that I can't take advantage of. Wish I had been a little closer to 24 but there weren't very many girls in that range so I don't know. Weak field, hard course? Got outkicked by the girls I was with at the end, first time this season I let that happen. Don't know if it was mental or physical. Don't know much of anything. Too many good races in a row I guess... had to have a bad one eventually. Ok... a few more hours have gone by and I was working on the Tech article and I suppose maybe I didn't give myself enough credit today...I'm usually a minute or so behind Martha or Julia or whoever's in front (closest 45 s), and I was just about a minute behind on a course that seemed to run just over 4 minutes longer, not so bad... plus my goal of hitting 24 may have been a bit ambitious given the course and the conditions; the 18th girl was the last one to dip under. I'm doing all right I guess... Splits: 6:11 6:46 -- drrr... 6:32 5:01","17:29 wu, (30) cd",1,"Twin Brook Invitational, Cumberland , Maine",6k,24:30,fall03log.html
2003-10-19,2003,10,19,Sunday,42,fall,long run,85.15,1:25:09,10.0,8.515,"never thought I'd see the day when a 10 miler seemed like a ""short"" long run. first time I had to wear long sleeves the whole run... something tells me I don't know what cold is...(of course, ""something"" could be Alisa)",,0,,,,fall03log.html
2003-10-20,2003,10,20,Monday,43,fall,fartlek,62.0,62:00,7.5,8.2667,"19 min wu, 20 min fartlek around esplande, cd -- longfellow bridge. eh... feeling a little flat. not hurting anywhere, just flat. tomorrow off...that'll be nice. good thing my roommate likes the smell of Bengay.",spb,0,,,,fall03log.html
2003-10-21,2003,10,21,Tuesday,43,fall,,,,,,off,,0,,,,fall03log.html
2003-10-22,2003,10,22,Wednesday,43,fall,intervals,30.98,30:59 wu/cd,7.0,4.4257,"1x1600 (400 rec), 4x300 (100 rec btw each, full rec after), 4x200 (walking rec): 6:07, 60, 60, 60, 60, 39, 37, 39, 37 Targets: 6:00, 61-63, 39-42 44 degress out or something like that! The cold really locked up my muscles I think, my stride felt off every time I tried to speed up and I just didn't feel in control of my body. I have to get used to it though for racing, going to try to not wear spandex if I don't have to.","spb, ice bath (which, incidentally, was warmer than the air outside...)",0,,,,fall03log.html
2003-10-23,2003,10,23,Thursday,43,fall,run,42.25,42:15,5.2,8.125,,medball,0,,,,fall03log.html
2003-10-24,2003,10,24,Friday,43,fall,pre-meet,29.42,29:25,3.0,9.8067,,,0,,,,fall03log.html
2003-10-25,2003,10,25,Saturday,43,fall,,,,8.0,,"Mentally off my game today. Not psyched up going into it, during the race I was focused and all but outside factors creep in sometimes. Overall, not a bad race, but I think I was not pushing to my limit. In the middle of mile 2, there were two Wellesley girls ahead of me and I told myself that I was going to catch up to them within the mile, but I think I made a mistake by not ever definitively saying that I was going to go get them at a specific moment. Generally just raced way too conservatively, something I haven't been doing much this season. For some reason I'm getting scared again like in HS, gotta get that edge back. Still stoked that even a ""bad"" race puts me under 20 now...come a long way since hs. Splits:","19:44 wu, 24:14 cd 15 pushups as owed -- Ling can verify",1,"Tri Meet vs. Wellesley, NYU, Wellesley College",5k,19:57,fall03log.html
2003-10-26,2003,10,26,Sunday,43,fall,off,,,,,"Biked to Franklin Park to volunteer/watch the Mayor's Cup. Not counting it as training, just thought I'd mention it",,0,,,,fall03log.html
2003-10-27,2003,10,27,Monday,44,fall,fartlek,48.63,48:38,6.0,8.105,"fartlek around the esplanade... time change = dark. Run felt pretty effortless today, looking forward to saturday",sp,0,,,,fall03log.html
2003-10-28,2003,10,28,Tuesday,44,fall,run,42.28,42:17,5.5,7.6873,"""crisp""... felt great today!",spb,0,,,,fall03log.html
2003-10-29,2003,10,29,Wednesday,44,fall,intervals,,(24) wu/cd,5.0,,"200-300-400-500-400-300-200, 1600, 100 walk recovery Goal times: 39-41, 62-64?, 86-87,1:49, etc... 6:08-6:20 Splits: 37-56-86-1:46-83-60-39, 5:59 *We had to run in the dark in lane 4; distances could have been off. Forced me to run by effort though instead of the watch which I guess is a good thing... but I went too fast on all of them. I don't really care today though, usually I worry about being controlled but today I just wanted to run...hard... so what if it was a bit erratic?",ice bath,0,,,,fall03log.html
2003-10-30,2003,10,30,Thursday,44,fall,run,34.18,34:11,4.0,8.545,Gettin' fired up....,,0,,,,fall03log.html
2003-10-31,2003,10,31,Friday,44,fall,pre-meet,20.4,20:24,2.5,8.16,"10 min, 6 strides, 10 more min... reminiscent of back in the day",,0,,,,fall03log.html
2003-11-01,2003,11,1,Saturday,44,fall,,,,7.5,,"NEWMAC champs!! Wow before I get to my race review I've just gotta say good job to everyone today... so many people stepping up, racing just like we planned... oh man... shoutouts: Karen Condon, Martha, Kelly Kuo, Katie, Fran, Becky Idell... they all know why they get them and everyone else awesome job too! PRs like a mofo on the hardest course of the season! Ok...so yeah still having trouble believing the course was measured right. Generally speaking, I feel good about my race. Hard not to feel good when you WIN! Getting into specifics: running uphill hurt . I am really bad at it. This week though I was able to utilize the downhills more like I am good at. Followed the plan pretty perfectly--hard off the line, relaxed through mile one, 7 Wellesley in front of me then. Started picking off blue uniforms in the woods (mile 2), came out of the woods a few places up including two Wellesley, doing the hill a second time was quite a pain but I didn't lose any places that I can remember. Took off after the U-turn, coming back downhill I think I passed three or four girls in the final 600...including bearing down on the Wellesley girl in front of me, almost caught Wheaton too but she was too far up. Really gave everything in the final kick; I could feel it in my stomach. Also, went back to the original lucky hair tie. Gotta stick w/that. Quick goals breakdown: top 14, no (18th); beat Wellesley's #3; no (KC got her though); beat Sarah Bard, yes; use the downhills and my kick, yes. Not on the goal list but definitely a plus...PR! Splits (guessing from what I heard): 6:02 6:05-6:10 ??","16:15 wu, 26:00 cd",1,"NEWMAC Championships, Clark University",5k,19:18,fall03log.html
2003-11-02,2003,11,2,Sunday,44,fall,,,,,,day of rest....ahh....,,0,,,,fall03log.html
2003-11-03,2003,11,3,Monday,45,fall,run,45.82,45:49,5.5,8.3309,shins were a bit un-warmed up,ice bath,0,,,,fall03log.html
2003-11-04,2003,11,4,Tuesday,45,fall,long run,78.83,78:50,10.2,7.7284,wow...the instructions were to run briskly...so yeah.... Science museum-elliot bridge loop,sp,0,,,,fall03log.html
2003-11-05,2003,11,5,Wednesday,45,fall,intervals (5x800),23.55,23:33wu/cd,5.5,4.2818,"3:12, 3:14, 3:08, 2:55, 2:52 ~100m recovery Absolutely POURING out! And cold too...dang... wasn't quite looking forward to another run in the dark but it turned out ok today. Acutaly went pretty well... I think hitting the track got me all excited. This week I restrained myself and didn't go too fast...confined myself to the back of the pack. On the last two HBH said I could move on the second lap, with the very last one being ""the end of a race"". On that last one I had a lot of go in me... I could really feel there was a lot of acceleration power. The only thing that kept me from going any faster was that cold air...make my muscles a bit non-responsive. GREAT feeling workout though.","sp, ice bath",0,,,,fall03log.html
2003-11-06,2003,11,6,Thursday,45,fall,run,33.83,33:50,4.1,8.2512,"harvard bridge-river st loop. A bit sore, could have stretched more yesterday",medball,0,,,,fall03log.html
2003-11-07,2003,11,7,Friday,45,fall,intervals,28.17,28:10 wu/cd,6.0,4.695,"1600, 4x600 @ fenway track. quite a painful experience, not like aches and pains but it was just hard to do. Kind of a good thing, though, that it was hard, because pretty much all season everything has felt good and under control, and so it was good for me I think to be struggling. Stayed at or below target pace regardless. Pulse was a bit up this morning. 6:06, 2:06,08,08,06 (target: 6-6:15, 2:10-15) Also, I was kind of against putting non-running stuff in this log at first, but I am really excited because I think I did pretty well on my calc test today (perhaps I should point out that I needed to do well to pass the class). I hope. I'll find out next Thursday.",,0,,,,fall03log.html
2003-11-08,2003,11,8,Saturday,45,fall,off,,,,,,,0,,,,fall03log.html
2003-11-09,2003,11,9,Sunday,45,fall,long run,65.05,65:03,8.0,8.1312,"out 32:18, back in 30 (to make it ""brisk""...or crisp?) then tacked on a few for good measure. made it to jamaica pond and back w/o getting lost! hurrah",,0,,,,fall03log.html
2003-11-10,2003,11,10,Monday,46,fall,fartlek,61.42,61:25,7.7,7.9766,"ran in Central Park w/Julia thanks to funny coincidence. 10' wu and then 3xs around a reservoir w/fartlek, cd back to the SW corner of the park. Slightly overdressed and had stuff to carry but overall pretty good... felt hard while I was doing it but not immediately after. Fun run.",,0,,,,fall03log.html
2003-11-11,2003,11,11,Tuesday,46,fall,run,45.9,45:54,5.6,8.1964,harvard-jfk,spb,0,,,,fall03log.html
2003-11-12,2003,11,12,Wednesday,46,fall,intervals,23.5,23:30 wu/cd,5.4,4.3519,"6x400, 1x1600 on the track. target-- 400's: 84-86, 1600: 95+94+92+89 = 6:10 actual: 81, 83, 81, 83, 83, 83. 95+94+90+88=6:07 felt pretty relaxed and in control, never pushed too hard, felt bouncy on the cool down Startin to get a little pumped for Maine...Road trip!","situps, 1 set pushups, ice bath",0,,,,fall03log.html
2003-11-13,2003,11,13,Thursday,46,fall,aquajog,40.62,40:37,,,pretty worthless aerobically but I was really just doing it to rest up... so it was good. Had to do it in the shallow pool b/c of swim team,,0,,,,fall03log.html
2003-11-14,2003,11,14,Friday,46,fall,pre-meet,18.78,18:47,2.5,7.512,"10', 6 strides, 8' (mileage includes strides). 8:30 am...so windy!",situps,0,,,,fall03log.html
2003-11-15,2003,11,15,Saturday,46,fall,,,,7.0,,"Don't like to overanalyze the last meet of the season but...I'll comment briefly: Not a bad race...time was poor but doesn't reflect much because of the conditions. (Windy, ~40 degrees, frozen ground, tough course) I think 82nd place is a pretty solid showing. I actually think I ran pretty hard because I was pretty wiped afterwords. I felt like I was racing pretty well while I was running. Pretty much in control, was able to make moves and accelerate when I needed to (aka: wasn't so dead that I was slowing down the whole time), hung on to Karen Kinnaman who was racing right in front of me/with me until the last 600 or so. The hills didn't brutalize me as much as they did last time on the course, or even last meet. I think from where I was at the second mile I picked up about 10 places, including somehow digging out some semblance of a kick in the last 75m or so, I think I got three people there. All in all, I could say that I would like to have a better 6k time, but I don't think I could have run it today. Cool parts: 1. staying in a hotel (hooray luggage carts and elevators), 2. using CHIP TIMING! Dude, I think I got placed ahead of this girl only because my foot came in before hers...boo yah! 3. Picnics! Yay! 4. Fan club driving out to watch us 5. Men's coach Halston Taylor talking to me after the race and saying he thought I did well and had a good season. 6. This season... Splits: crazy","16:20 wu, 12:23 cd",1,"NCAA D3 Regionals, University of Southern Maine",6k (short 100m),24:36,fall03log.html
2003-11-24,2003,11,24,Monday,48,winter,run,61.92,61:55,7.7,8.0416,"14:41 wu, then Science-BU bridge loop in 47:14. Hurtin' a bit after the time off... mostly muscle aches and pains, I'm fine aerobically. Glad I decided to start running again; I was hesitant to start so soon but I think it was more mental. Bought new shoes last week but kind of blew it... went with the Asics DS VIIIs again, which I like, and then for some reason for my second pair I got the 2080's, which I have owned before and I KNOW give me blisters...and guess what...blisters... :-(","spb, medball",0,,,,winter03log.html
2003-11-25,2003,11,25,Tuesday,48,winter,tempo,52.22,52:13,6.5,8.0338,"20' tempo around Fenway track, wasn't going to do it but I wanted to have a meaningful workout so I did it ""easy"". Man I don't know what's up, I'm not really into running right now... I guess it's just late in the term or whatever but I just feel like I don't want to do this. Kinda frustrating to feel that way, I hope going home for Thanksgiving will fix things up.",sp,0,,,,winter03log.html
2003-11-26,2003,11,26,Wednesday,48,winter,run,43.47,43:28,5.2,8.3596,"AM run, flight leaves tonight. so much nicer to run in the day!",,0,,,,winter03log.html
2003-11-27,2003,11,27,Thursday,48,winter,tempo,49.33,49:20,6.3,7.8302,"HOME for the weekend! San Diego Thanksgiving Day 5k: 21:42, shins hurt for the first two miles because I didn't warmup, quads were sore for some reason (still from Monday?). winds picked up too and there was ash all over. Props to Nicole C for sticking w/me most of the way! heehee P/S: got new shoes, returned the 2080's and went back to the reebok road premier lites.",,0,,,,winter03log.html
2003-11-28,2003,11,28,Friday,48,winter,run,48.47,48:28,5.6,8.6554,"up Broken Hills to gate +Guy Fleming, felt way sluggish I think time was normal though. San Diego at sunset rules!",spb,0,,,,winter03log.html
2003-11-29,2003,11,29,Saturday,48,winter,run,59.1,59:06,7.5,7.88,"TP state beach, past Frogs w/Julie K",,0,,,,winter03log.html
2003-12-01,2003,12,1,Monday,49,winter,run,62.0,62:00,7.7,8.0519,"14:58 wu, sci-BU bridge loop. Back from a damn good weekend and ready to go hardcore, no more junk.","medball, lunges, some situps, pushups",0,,,,winter03log.html
2003-12-02,2003,12,2,Tuesday,49,winter,hills,32.87,32:52 wu/cd,5.0,6.574,"2 sets of 5 hills up the road @ Boston common, a bit chilly out... because it SNOWED today!!! WOOHOO! Ran back from the commons a lot faster than we went out. Really sore just above the achilles...gonna bengay and feel it out tomorrow",spb,0,,,,winter03log.html
2003-12-03,2003,12,3,Wednesday,49,winter,aquajog,66.47,66:28,,,"15' warmup then pool drills. Achilles popped last night while I was stretching it and got a bit swollen, still swollen when I woke up, and hurt all day. Did a pool workout and then went to the trainer. The verdict: just a bit strained, not torn (thank goodness), the popping was just scar tissue, but for the most part I should be fine. They said it might have been from it being cold and/or doing a hill workout which I hadn't in a while. Have to get it taped and go in the pool again tomorrow and then see about Friday. Sounds like it should be a quick recovery. Life is, once again, good.",,0,,,,winter03log.html
2003-12-04,2003,12,4,Thursday,49,winter,aquajog,50.12,50:07,,,"15 min wu,6x3 min, 4x30 sec, 1 min recovery btw all Swelling's almost down, pain way down, should be running by Sat.",spb,0,,,,winter03log.html
2003-12-05,2003,12,5,Friday,49,winter,aquajog,43.37,43:22,,,"15 wu, drills. Racing tomorrow :-)",1/2 set sp,0,,,,winter03log.html
2003-12-06,2003,12,6,Saturday,49,winter,,,,7.0,,"Hells yeah! Wow, was hoping I could hit 5:40... awesome! Felt like I gave it my all for today, but there is definitely more in me. As HBH said, we just haven't done the workouts to tap that yet. The PR is for the full mile, HS 1600 PR was a 5:36, I'm not going mess w/indoor-outdoor- banked conversions but they're there.... Splits were sweet too: 38, 42, 43, 42, 41, 43, 43, 41","14:57 wu, 35:16 cd (in the snow!!)",1,"Husky Track Carnival, Reggie Lewis Center",1 mile,5:34.06,winter03log.html
2003-12-07,2003,12,7,Sunday,49,winter,run,33.12,33:07,3.5,9.4629,"not really counting this as a workout persay, but I was running so I'm including it. Julia, Karen K and Martha came along to play in the snow-- we ran over the bridge and had a snowball fight on the Esplanade, then trekked back for a bit of actual running on mem drive. It's so pretty!!","jenna's abs, pushups, back, calf raises",0,,,,winter03log.html
2003-12-08,2003,12,8,Monday,50,winter,intervals,38.65,38:39 wu/cd,6.0,6.4417,"pretty short intervals: 2x(400,800,400) w/half distance recovery on the indoor track. Goal: 80, 2:52. Sounded pretty fast but we cranked 'em in 81, 2:48, 81; 79, 2:50, 80. The track dries out my throat-- ugh. They felt the same as my race saturday, as if I was not actually running fast but I couldn't run faster. chips and guacamole before practice = bad","sp, lunges",0,,,,winter03log.html
2003-12-09,2003,12,9,Tuesday,50,winter,pre-meet,15.45,15:27,2.0,7.725,"I don't know why we're doing such low mileage, but it's ok I'm feeling a bit lazy. I'll put in some solid daytime miles the rest of the week (no school thurs/fri) and then hit it hard over break.","spb, medball, baton practice, 1 lap at pace(?)",0,,,,winter03log.html
2003-12-10,2003,12,10,Wednesday,50,winter,,,,6.0,,"physically I gave it a good effort, even splits through the first 8-10 laps or so (just under 6:00 pace). Pleased with the race in general, felt easy for the first 9 laps . The slow in pace was mostly mental I think, I let the USM girl beat me, I'm not used to actually having to worry about my place so I didn't fight much. Plus the fact that I've run 25 miles this whole month. :-( Prob would have been a 3200 PR so that's cool. Splits: 89, 88, 92, 89, 91, 94, 96, 43","16:04 wu, 20:00 cd (in the snow!!), sp",1,"Vs. Springfield and USM, MIT",3000 m,11:21,winter03log.html
2003-12-11,2003,12,11,Thursday,50,winter,long run,75.17,75:10,9.0,8.3522,"sidewalks are relatively clear to Jamaica Pond! Hit ""a few"" puddles... eh but it was great to finally get out for some miles!",,0,,,,winter03log.html
2003-12-12,2003,12,12,Friday,50,winter,run,51.0,51:00,6.0,8.5,,,0,,,,winter03log.html
2003-12-13,2003,12,13,Saturday,50,winter,run,58.77,58:46,7.0,8.3957,"1 min pickups every 10 min. PS: Claire Rethmeier, 14th at nationals, 18:05, great job!",,0,,,,winter03log.html
2003-12-14,2003,12,14,Sunday,50,winter,run,59.33,59:20,7.2,8.2403,so cold! I come inside and now everything's aching :-(,,0,,,,winter03log.html
2003-12-15,2003,12,15,Monday,51,winter,run,51.47,51:28,6.0,8.5783,it gets a bit windy on the esplanade... but that was a great run because it was right AFTER my 8.022 final! bu yah,spb,0,,,,winter03log.html
2003-12-16,2003,12,16,Tuesday,51,winter,long run,87.42,1:27:25,10.25,8.5288,"1 min pickups every 10, which got interesting once I got to the parts that weren't plowed... had a little run in with the ground today too. My wrist and shoulder were hurting doing pushups",spb,0,,,,winter03log.html
2003-12-17,2003,12,17,Wednesday,51,winter,run,43.12,43:07,5.5,7.84,warm enough for t-shirt and shorts!,,0,,,,winter03log.html
2003-12-18,2003,12,18,Thursday,51,winter,run,55.15,55:09,7.0,7.8786,found a caterpillar :-D,"spb, jenna's abs",0,,,,winter03log.html
2003-12-19,2003,12,19,Friday,51,winter,hill repeats,38.0,38:00 wu/cd,7.0,5.4286,"4 moderate, 4 moderate/hard, 3 hard. A bit sluggish from Roberto's, but I'm home!",,0,,,,winter03log.html
2003-12-20,2003,12,20,Saturday,51,winter,run,40.85,40:51,5.0,8.17,relaxing run w/some of the old team... man I miss these kids! TPCC forever! hehe,"sp, lunges",0,,,,winter03log.html
