id,name,type,sport_type,start_date_local,distance_km,moving_time_min,elapsed_time_min,total_elevation_gain_m,elev_high_m,elev_low_m,average_speed_kmh,max_speed_kmh,average_heartrate,max_heartrate,average_watts,max_watts,device_watts,suffer_score,calories,average_cadence,average_temp_c,workout_type,start_latlng,city,state,country,gear_id,trainer,commute,manual,has_heartrate,achievement_count,kudos_count,comment_count,athlete_count,pr_count,photos_count,total_photo_count,description,device_name,map_id
17954218993,Lunch Pickleball,Workout,Pickleball,2026-04-02 11:56:57,1.532,31.7,59.72,4.8,73.3,69.7,2.9,11.09,96.8,141.0,,,,5.0,173.0,66.5,,,,,,,,False,False,False,True,0,3,1,1,0,1,1,"The Pacific Highlands Ranch courts were full, proving that everybody slacks off in San Diego. (We were also meeting another fully employed friend.) Luckily the high school was on spring break so we got to use their PE courts.",Garmin Forerunner 255S,a17954218993
17943558677,Afternoon Mountain Bike Ride,Ride,MountainBikeRide,2026-04-01 14:52:33,9.966,42.97,46.33,140.0,131.8,55.8,13.92,31.25,139.9,171.0,100.5,,False,56.0,401.0,,21.8,,"32.941369,-117.15405",,,,b16859878,False,False,False,True,11,7,0,2,10,2,2,I got Joel Brooks an action cam for his birthday so that I can make him take videos of me. Here's a snippet that explains while these trails are all named Tunnels  PS: everyone slept the whole night last night,Garmin Forerunner 255S,a17943558677
17930571190,Afternoon Mountain Bike Ride,Ride,MountainBikeRide,2026-03-31 13:54:16,10.891,44.62,49.92,109.0,103.0,67.4,14.64,26.78,128.6,167.0,104.2,,False,36.0,369.0,,21.8,,"32.941317,-117.154055",,,,b16859878,False,False,False,True,7,4,0,2,0,3,3,"I'm back to complain about our children's sleep. This time mostly the other one  11:45 pm, 2 am, 3:30 am, 4:30 am, alarm at 5:40 am  Joel Brooks and I decided flat ground was a good call  Note: sticks are snakes until proven otherwise ",Garmin Forerunner 255S,a17930571190
17907388794,I am (not) Moana,StandUpPaddling,StandUpPaddling,2026-03-29 16:36:34,1.496,29.02,30.9,4.8,3.9,-1.4,3.1,8.35,92.3,118.0,,,,4.0,118.0,31.7,23.0,,"32.990595,-117.274989",,,,,False,False,False,True,0,8,0,1,0,3,3,"Day date with Joel Brooks ! Absolutely gorgeous day to be on the ocean. However, ocean also makes for very difficult SUPping. Quads are burning already. Not like putzing along the Chattahoochee (our only other experience, 7+ years ago). Also don't sleep on the physicality of hauling the boards up the hill from the beach",Garmin Forerunner 255S,a17907388794
17881093970,Afternoon Pickleball,Workout,Pickleball,2026-03-27 13:38:02,1.545,36.47,39.57,0.0,74.5,72.7,2.54,8.28,135.4,160.0,,,,33.0,334.0,65.6,26.9,,"32.940058,-117.150315",,,,,False,False,False,True,0,2,0,1,0,0,0,"Played singles with Joel. Got some good rallies in.  Should I have been working? Maybe. But AI is doing my job, right?",Garmin Forerunner 255S,a17881093970
17878315846,Post drop off,Run,Run,2026-03-27 08:24:29,7.614,42.22,43.48,38.0,80.4,51.0,10.82,15.34,155.9,173.0,275.5,414,True,104.0,465.0,82.3,13.6,,"32.940303,-117.150784",,,,g27182744,False,False,False,True,1,7,0,1,0,0,0,S likes to go to school early and get school breakfast on Fridays (they have breakfast everyday but she only wants it on Fridays) so I was able to sneak in a run before my next meeting and while the fog was still overhead.  Happen to be wearing shorts that said MIT on and then I bumped in into a man wearing an MIT shirt! Class of 79.  Still have a nagging hamstring twinge. Only shows up while running.  Saw an awesome big male quail.  ,Garmin Forerunner 255S,a17878315846
17845585857,Practice makes... Marginally better,Ride,MountainBikeRide,2026-03-24 12:55:56,5.197,33.77,39.5,157.0,253.0,191.0,9.23,26.35,145.7,176.0,90.3,,False,59.0,385.0,,22.4,,"32.989304,-117.130667",,,,b16859878,False,False,False,True,14,6,0,2,9,0,0,"Two laps of a decently challenging trail. Definitely got better the second time around. I just kept yelling at myself ""bend yah ahms"" in a thick Boston accent in my head. Unclear why that's effective ",Garmin Forerunner 255S,a17845585857
17822801572,Afternoon Pickleball,Workout,Pickleball,2026-03-22 15:49:24,1.604,56.78,89.47,0.0,74.4,73.6,1.7,11.94,98.6,134.0,,,,9.0,279.0,57.3,25.6,,"32.94001,-117.150523",,,,,False,False,False,True,0,4,0,1,0,0,0,I think I'm getting better? Warmer than it seemed,Garmin Forerunner 255S,a17822801572
17819011704,Safety bail,Ride,MountainBikeRide,2026-03-22 09:00:03,4.745,33.57,41.93,183.0,370.6,246.4,8.48,23.18,143.6,172.0,100.1,,False,51.0,343.0,,18.6,,"32.971059,-117.117866",,,,b16859878,False,False,False,True,7,7,1,1,2,0,0,"Was excited to have cooler weather and Joel's turn to do swim class. Alas, terrible sleep rears its ugly head again (I even forgot my sunglasses 🤦🏻‍♀️). Planned to do Black Widow but after making a ton of stupid mistakes on the easy trails, decided that was unwise. Maybe when M turns 4 she'll miraculously start sleeping better",Garmin Forerunner 255S,a17819011704
17792745586,Morning Run,Run,Run,2026-03-20 08:39:11,6.17,34.23,35.63,42.0,83.8,45.4,10.81,14.33,153.8,172.0,278.1,360,True,81.0,376.0,81.5,18.3,,"32.941292,-117.154022",,,,g27182744,False,False,False,True,0,4,0,1,0,0,0,Was able to get out early and benefit from the surprisingly cool air that sinks down toward the creek overnight. Not gonna be pleasant today ,Garmin Forerunner 255S,a17792745586
17773626619,Afternoon Weight Training,WeightTraining,WeightTraining,2026-03-18 16:31:41,0.0,38.33,38.33,0,0.0,0.0,0.0,0.0,89.1,128.0,,,,5.0,139.0,,,30,,,,,,True,False,False,True,0,3,0,1,0,1,1,,Garmin Forerunner 255S,a17773626619
17747599312,Pre heat wave,Ride,MountainBikeRide,2026-03-16 14:41:45,10.227,43.68,45.82,151.0,128.6,48.6,14.05,31.56,138.3,180.0,110.0,,False,57.0,400.0,,28.9,,"32.941353,-117.154081",,,,b16859878,False,False,False,True,17,4,0,1,5,0,0,"Technically the heat advisory is already on but today was not so bad. A shocking number of people on the trails given the temperature and time of day though. Also lots of quail but they are too skittish for pics.  Original plan was to climb T4 and go down T2 and stay in the shade, but I realized that I was leaving the house right when school was letting out and I had to go the other way to avoid being spotted.   One little wash out on loose rocks at the bottom of barrel roll but managed to land on my feet.  ",Garmin Forerunner 255S,a17747599312
17737669486,Afternoon Pickleball,Workout,Pickleball,2026-03-15 14:47:25,2.658,85.33,140.78,0.0,74.3,73.6,1.87,9.84,99.5,205.0,,,,14.0,455.0,60.8,25.6,,"32.940033,-117.150334",,,,,False,False,False,True,0,2,0,1,0,0,0,,Garmin Forerunner 255S,a17737669486
17720646169,Morning Run,Run,Run,2026-03-14 07:38:42,5.946,33.05,34.72,32.0,78.0,47.4,10.8,16.13,152.4,171.0,273.9,358,True,73.0,357.0,82.7,14.7,,"32.941376,-117.154034",,,,g27182744,False,False,False,True,0,8,0,1,0,0,0,Had a niggling butt twinge for the first 10 min and a lot of overall stiffness. I guess I'm not used to running in the mornings anymore. ,Garmin Forerunner 255S,a17720646169
17688915985,Lunch Mountain Bike Ride,Ride,MountainBikeRide,2026-03-11 11:28:01,4.229,33.9,50.07,193.0,338.2,189.8,7.48,27.72,139.6,181.0,103.4,,False,44.0,412.0,,19.9,,"32.96534,-117.078906",,,,b16859878,False,False,False,True,0,8,0,2,0,0,0,Joel and I explored a new area. They keep the map kind of hush hush but we managed to find a guy who gave us a few tips. Unfortunately he could not make us magically better bikers. Definitely some difficult trails,Garmin Forerunner 255S,a17688915985
17666825326,Lifting at the Y,WeightTraining,WeightTraining,2026-03-09 16:47:51,0.0,32.77,32.77,0,0.0,0.0,0.0,0.0,91.0,134.0,,,,4.0,129.0,,,30,,,,,,True,False,False,True,0,6,3,1,0,1,1,"Had an awkward time between my dentist appointment and picking up kiddo so I figured I'd actually try out the YMCA that we are members of. Used the outdoor lifting area! First time lifting in like a year, I surely won't feel that tomorrow ",Garmin Forerunner 255S,a17666825326
17655055083,Afternoon Pickleball,Workout,Pickleball,2026-03-08 15:03:07,1.887,59.1,121.98,0.0,74.4,73.6,1.92,20.59,106.6,140.0,,,,11.0,387.0,58.0,30.9,,"32.940098,-117.150465",,,,,False,False,False,True,0,3,2,1,0,0,0,Doubles,Garmin Forerunner 255S,a17655055083
17629239068,Afternoon Mountain Bike Ride,Ride,MountainBikeRide,2026-03-06 13:27:48,10.513,42.45,43.55,142.0,85.8,23.4,14.86,30.53,133.4,169.0,103.2,,False,42.0,371.0,,23.0,,"32.941317,-117.154069",,,,b16859878,False,False,False,True,0,3,0,2,0,0,0,,Garmin Forerunner 255S,a17629239068
17607052106,Benign snake,Ride,MountainBikeRide,2026-03-04 14:04:11,12.508,57.2,62.2,212.0,126.4,50.2,13.12,25.78,140.1,174.0,104.2,,False,76.0,558.0,,19.4,,"32.941373,-117.154032",,,,b16859878,False,False,False,True,19,4,0,2,8,0,0,"Roughly the same spot, but definitely a gopher snake this time. 'tis the season, I guess ",Garmin Forerunner 255S,a17607052106
17581772817,Ooh that's nature,Ride,MountainBikeRide,2026-03-02 14:18:26,11.664,48.75,54.62,179.0,126.8,27.6,14.36,35.14,141.5,170.0,109.3,,False,71.0,468.0,,20.5,,"32.941349,-117.154042",,,,b16859878,False,False,False,True,11,5,2,1,2,2,2,"Coyote spotting on Side Hill, maybe the same one Joel Brooks saw a while back. Then my heart exploded when I saw what I'm pretty sure was a rattlesnake. Literally screamed. It was thick",Garmin Forerunner 255S,a17581772817
17571283335,Cul-de-sac Pickleball,Workout,Pickleball,2026-03-01 15:55:52,0.904,23.7,28.13,0.0,111.9,110.2,2.29,11.52,98.9,126.0,,,,3.0,130.0,60.7,24.1,,"32.953949,-117.220727",,,,,False,False,False,True,0,3,0,1,0,0,0,Chalked out some lines. It works,Garmin Forerunner 255S,a17571283335
17546635309,Well F that,Run,Run,2026-02-27 14:58:23,6.116,35.92,36.62,41.0,88.8,51.4,10.22,15.7,156.6,171.0,265.6,395,True,88.0,398.0,80.7,30.5,,"32.94129,-117.154064",,,,g27182744,False,False,False,True,0,4,0,1,0,0,0,"Finally had a ""lunch"" break at 2:45. Heat wave. That was a hungry, sweaty run ",Garmin Forerunner 255S,a17546635309
17525116626,Splish splash,Ride,MountainBikeRide,2026-02-25 16:00:52,11.653,54.08,59.2,176.0,134.0,73.8,12.93,28.22,136.9,173.0,96.1,,False,64.0,492.0,,23.0,,"32.941392,-117.15408",,,,b16859878,False,False,False,True,22,5,3,2,9,0,0,"Joel, to some other biker: yeah, the puddle is pretty deep, I walked around Other biker, looking at me: *she* didn't   🤷🏻‍♀️",Garmin Forerunner 255S,a17525116626
17499958239,Belly Full of Banh Mi,Run,TrailRun,2026-02-23 15:01:22,3.893,30.87,30.98,169.0,377.8,237.8,7.57,14.04,146.2,171.0,218.8,362,True,49.0,299.0,77.5,23.2,,"32.992447,-117.116216",,,,g27182744,False,False,False,True,1,4,0,2,0,0,0,"Saw a gopher snake, maybe 3ft long  A bunch of breathless 10 year old boys also warned us about seeing two rattlesnakes, but I dunno. Also they were riding e bikes without helmets!! 👵🏻",Garmin Forerunner 255S,a17499958239
17464878777,Belly full of pasties,Run,Run,2026-02-20 15:26:39,4.215,24.77,24.77,10.0,196.2,189.6,10.21,14.9,143.5,159.0,262.6,350,True,38.0,261.0,84.5,3.3,,"43.652439,-84.252643",,,,g27182744,False,False,False,True,0,4,0,2,0,0,0,,Garmin Forerunner 255S,a17464878777
17450984483,Vacation Legs,Run,Run,2026-02-19 08:59:17,9.937,55.02,55.42,18.0,203.6,191.6,10.84,14.98,148.3,159.0,276.6,347,True,99.0,595.0,82.9,-0.6,,"43.652363,-84.252659",,,,g27182744,False,False,False,True,0,6,0,1,0,0,0,Or sea legs from the water park? That didn't feel good but I did it,Garmin Forerunner 255S,a17450984483
17430929649,Basically the Winter Olympics,IceSkate,IceSkate,2026-02-17 13:14:59,0.0,26.38,26.38,0,0.0,0.0,0.0,0.0,81.4,115.0,,,,2.0,77.0,,,,,,,,,True,False,False,True,0,7,0,1,0,2,2,,Garmin Forerunner 255S,a17430929649
17420151205,Snow Snake 🐍,AlpineSki,AlpineSki,2026-02-16 12:06:07,4.5,47.98,193.22,382.8,379.8,321.0,5.63,36.29,89.3,126.0,,,,6.0,378.0,,26,,"43.959609,-84.78157",,,,,False,False,False,True,0,12,2,1,0,3,3,"210' of vertical drop, $44 lift tickets and kids ski free  the kids are crushin it! + My first tow rope, damn those things are violent   Yes this is just social media now ",Garmin Forerunner 255S,a17420151205
17389121226,Cobbles up shitz down,Ride,MountainBikeRide,2026-02-13 15:19:45,10.576,41.35,41.78,156.0,128.6,53.4,15.35,32.04,146.6,173.0,116.8,,False,75.0,427.0,,18.5,,"32.941337,-117.154053",,,,b16859878,False,False,False,True,25,6,0,1,6,0,0,Crankin on stress and coffee. Lots of people out at 3 on a Friday. Doesn't anyone work? 🤪,Garmin Forerunner 255S,a17389121226
17369060575,Shosh's jaunt,Run,Run,2026-02-11 17:05:47,1.001,11.05,29.05,9.0,85.6,74.8,5.43,12.67,109.1,139.0,49.0,296,True,1.0,65.0,80.0,14.6,0,"32.941251,-117.153769",,,,g27182744,False,False,False,True,0,4,0,1,0,0,0,Prepping for tomorrow's fundraiser run,Garmin Forerunner 255S,a17369060575
17369060708,Afternoon Run,Run,Run,2026-02-11 16:43:50,3.78,20.03,20.03,28.0,84.8,72.6,11.32,14.33,150.6,169.0,292.8,383,True,42.0,220.0,82.3,15.1,,"32.94128,-117.154045",,,,g27182744,False,False,False,True,2,5,0,1,2,0,0,,Garmin Forerunner 255S,a17369060708
17344245205,Lunch Mountain Bike Ride,Ride,MountainBikeRide,2026-02-09 12:40:08,15.1,73.72,86.98,246.0,136.4,53.8,12.29,51.9,138.3,172.0,98.9,,False,89.0,699.0,,24.1,,"32.941328,-117.154098",,,,b16859878,False,False,False,True,19,5,0,2,10,0,0,It was hot. We were hungry.,Garmin Forerunner 255S,a17344245205
17311215360,Post nap,Ride,MountainBikeRide,2026-02-06 15:14:04,9.374,35.93,37.73,133.0,131.8,52.6,15.65,27.86,143.7,167.0,119.6,,False,57.0,369.0,,19.2,,"32.941308,-117.154044",,,,b16859878,False,False,False,True,14,9,0,1,10,0,0,"Another run of 6am meetings but 20 min of early afternoon snooze reinvigorated me. Still wanted something easy so I took a mostly fire road route. Did ride the down Shitz which was cool, since the last time I tried that trail I was borrowing Joel's bike, had no idea how to ride, and walked down all the berms.",Garmin Forerunner 255S,a17311215360
17277275872,Afternoon Mountain Bike Ride,Ride,MountainBikeRide,2026-02-03 13:31:42,10.945,51.58,54.95,153.0,131.0,74.0,12.73,28.14,134.2,167.0,92.5,,False,51.0,447.0,,23.6,,"32.941323,-117.154033",,,,b16859878,False,False,False,True,13,4,0,2,9,0,0,,Garmin Forerunner 255S,a17277275872
17265695405,Afternoon Run,Run,Run,2026-02-02 14:21:42,5.999,33.33,33.33,53.0,94.4,50.4,10.8,13.82,155.6,168.0,281.5,384,True,78.0,373.0,80.9,21.9,,"32.941256,-117.154018",,,,g27182744,False,False,False,True,2,7,0,1,0,0,0,"Played a couple more games of pickleball yesterday and while I'm not going to admit that I'm sore from it, it did seem like I could benefit from a shakeout run. 😂",Garmin Forerunner 255S,a17265695405
17240467413,Morning Run,Run,Run,2026-01-31 08:11:19,5.434,30.23,30.62,35.0,90.2,64.4,10.78,14.26,148.5,163.0,279.0,402,True,52.0,326.0,83.1,12.0,,"32.941373,-117.153983",,,,g27182744,False,False,False,True,1,8,0,1,0,0,0,,Garmin Forerunner 255S,a17240467413
17221198167,Lunch Pickleball,Workout,Pickleball,2026-01-29 12:39:56,1.684,38.27,40.4,0.0,74.3,74.1,2.64,13.02,116.8,141.0,,,,10.0,268.0,60.1,23.0,,"32.940038,-117.150507",,,,,False,False,False,True,0,6,0,1,0,0,0,Ate a pickle before and after 🥒,Garmin Forerunner 255S,a17221198167
17209882598,Lunch Mountain Bike Ride,Ride,MountainBikeRide,2026-01-28 11:54:58,10.348,44.25,47.5,163.0,135.8,59.0,14.03,32.11,139.5,171.0,109.6,,False,60.0,426.0,,17.3,,"32.941322,-117.154031",,,,b16859878,False,False,False,True,19,3,0,1,11,0,0,,Garmin Forerunner 255S,a17209882598
17186048703,Morning Run,Run,Run,2026-01-26 10:59:11,7.428,41.4,41.62,52.0,85.0,40.0,10.76,14.83,160.2,176.0,279.3,370,True,116.0,479.0,82.3,15.1,,"32.94131,-117.154053",,,,g27182744,False,False,False,True,1,5,0,1,1,0,0,,Garmin Forerunner 255S,a17186048703
17154248773,Afternoon Mountain Bike Ride,Ride,MountainBikeRide,2026-01-23 13:32:49,11.203,55.22,57.15,232.0,121.2,40.8,12.18,35.71,142.3,168.0,104.8,,False,76.0,530.0,,18.1,,"32.93086,-117.176519",,,,b16859878,False,False,False,True,12,4,0,2,8,0,0,Connected a few trails with Joel. Forgot to start recording until we hit cobbles,Garmin Forerunner 255S,a17154248773
17133475520,Conquered my nemesis (a pile of rocks),Ride,MountainBikeRide,2026-01-21 15:02:03,13.109,50.93,54.98,194.0,128.8,21.6,15.44,39.38,139.7,171.0,116.9,,False,69.0,504.0,,18.1,,"32.941342,-117.154024",,,,b16859878,False,False,False,True,12,6,1,1,5,4,4,"Finally made it through both small uphill rock gardens just east of the waterfall without coming off the bike! Woohoo!   I took an extended release Sudafed this morning and my heart was all aflutter in the afternoon. Went for the mentally easy route up the fire road and across the bridle paths. Side Hill was in surprisingly good shape for bombing down.  Also got to rock my ""cloud"" lenses for the full desert color look.",Garmin Forerunner 255S,a17133475520
17105616058,Morning Run,Run,Run,2026-01-19 08:46:13,5.891,32.47,32.63,37.0,82.6,47.2,10.89,14.04,149.9,164.0,276.7,357,True,61.0,354.0,82.8,8.9,,"32.941299,-117.153983",,,,g27182744,False,False,False,True,0,6,0,1,0,0,0,,Garmin Forerunner 255S,a17105616058
17086215860,Desert temps,Ride,MountainBikeRide,2026-01-17 13:53:17,9.98,41.7,43.48,171.0,120.8,49.8,14.36,29.66,134.7,191.0,110.5,,False,46.0,370.0,,27.8,,"32.941377,-117.154092",,,,b16859878,False,False,False,True,27,5,0,1,8,0,0,Dry and hot. Busy day on the trail. Tried to focus on the cadence uphill and only had to bail once  First time seeing duck pond without algae,Garmin Forerunner 255S,a17086215860
17050258784,Natick,Run,Run,2026-01-14 13:26:01,6.495,33.47,34.72,43.0,74.8,47.4,11.65,15.34,153.9,175.0,300.4,411,True,77.0,373.0,83.7,10.2,,"42.299077,-71.351853",,,,g27182744,False,False,False,True,1,6,0,1,0,0,0,Back to the mother ship to revisit my most run Strava segment of 2025,Garmin Forerunner 255S,a17050258784
17013589978,Boston,Run,Run,2026-01-11 09:10:49,7.397,39.07,39.57,55.0,53.8,33.4,11.36,14.83,155.7,164.0,293.4,434,True,93.0,439.0,85.2,2.8,,"42.284041,-71.164175",,,,g27182744,False,False,False,True,0,9,3,2,0,0,0,Andrea Staid keeping the pace honest ,Garmin Forerunner 255S,a17013589978
16983880586,Black Widow,Ride,MountainBikeRide,2026-01-08 13:07:57,5.894,44.97,54.47,248.0,435.4,214.6,7.87,33.91,138.1,171.0,96.7,,False,53.0,461.0,,15.3,,"32.971189,-117.11742",,,,b16859878,False,False,False,True,5,8,0,2,3,2,2,My second black trail. It was very cool. Views 10/10. Could see from Mt. Woodson to the ocean,Garmin Forerunner 255S,a16983880586
16962192534,Afternoon Mountain Bike Ride,Ride,MountainBikeRide,2026-01-06 14:36:39,3.204,27.22,31.85,85.0,249.4,188.8,7.06,26.93,116.9,161.0,67.4,,False,15.0,226.0,,17.2,,"32.989371,-117.130601",,,,b16859878,False,False,False,True,0,5,0,2,0,1,1,A quick exploration. Very muddy. Very green.   People were training guard dogs 🐕,Garmin Forerunner 255S,a16962192534
16937550555,Bike path westward,Run,Run,2026-01-04 08:22:12,9.706,54.55,54.55,104.0,126.0,79.0,10.67,14.26,155.8,167.0,277.8,375,True,130.0,605.0,82.1,13.6,,"32.941392,-117.154031",,,,g27182744,False,False,False,True,1,5,0,1,0,0,0,That is boring and loud. Still rained out of the canyon though ,Garmin Forerunner 255S,a16937550555
16906604558,Jan 1,Run,Run,2026-01-01 12:22:43,3.281,19.78,19.78,69.0,118.0,60.2,9.95,13.1,142.4,161.0,267.0,362,True,26.0,203.0,81.7,18.5,,"32.953912,-117.220781",,,,g27182744,False,False,False,True,0,5,0,2,0,0,0,Ran with Joel and my parents' neighbor. A quick sneak away from the gaggle of kids,Garmin Forerunner 255S,a16906604558
16877644684,Back in Black (Mountain),Ride,MountainBikeRide,2025-12-29 11:43:31,7.78,50.37,60.78,245.0,380.8,247.2,9.27,26.5,141.3,171.0,95.6,,False,71.0,541.0,,18.1,,"32.971125,-117.117698",,,,b16859878,False,False,False,True,10,7,0,2,5,1,1,Made it up most of the first big climb past the gate but then was tired the rest of the time 😅  Clear skies and ocean views  Nighthawk downhill is a never repeat tho,Garmin Forerunner 255S,a16877644684
16856866927,SR 56 Bike path loop,Run,Run,2025-12-27 08:51:23,8.326,45.68,46.2,132.0,173.2,77.4,10.94,15.26,153.1,169.0,287.8,419,True,98.0,502.0,82.3,8.1,,"32.941305,-117.154005",,,,g27182744,False,False,False,True,3,5,0,1,3,0,0,,Garmin Forerunner 255S,a16856866927
16839004071,Xmas strut,Run,Run,2025-12-25 10:36:06,5.254,30.87,30.87,53.0,104.0,74.8,10.21,13.46,144.5,159.0,268.8,386,True,49.0,320.0,81.6,16.5,,"32.941366,-117.154063",,,,g27182744,False,False,False,True,0,5,0,2,0,0,0,Did not spot any secret service ,Garmin Forerunner 255S,a16839004071
16823815926,Before the rains,Run,Run,2025-12-23 12:47:21,6.053,34.5,34.52,43.0,89.6,53.8,10.53,13.54,155.4,167.0,271.3,347,True,78.0,376.0,81.6,14.6,,"32.94143,-117.154026",,,,g21225297,False,False,False,True,0,6,0,1,0,0,0,Spotted: approximately 200 snails and one coyote,Garmin Forerunner 255S,a16823815926
16805157207,Sightseeing,Ride,MountainBikeRide,2025-12-21 08:49:34,15.832,76.08,85.07,311.0,136.0,55.2,12.48,31.61,134.9,165.0,103.4,,False,80.0,649.0,,11.0,,"32.941285,-117.154056",,,,b16859878,False,False,False,True,18,6,0,1,5,6,6,"Pretty relaxed ride, explored some trails behind the mesa which were meh. But nice views! As M would say ""I see Black Mountain!”  Stopped to take a picture of the goat who is always on the shed, since I don't carry my phone on runs. But some old guys were feeding the goats so they were at the fence instead.  ",Garmin Forerunner 255S,a16805157207
16779747713,☀️,Run,Run,2025-12-18 12:21:01,7.114,39.8,40.05,38.0,87.6,52.6,10.72,14.47,159.4,176.0,274.7,356,True,113.0,449.0,81.4,22.4,,"32.941334,-117.153973",,,,g27182744,False,False,False,True,0,4,0,1,0,0,0,"Unseasonably warm, even for here. Still wet on the south side of the creek",Garmin Forerunner 255S,a16779747713
16762009669,Lunch Mountain Bike Ride,Ride,MountainBikeRide,2025-12-16 12:47:25,10.381,48.22,54.45,183.0,134.8,58.4,12.92,45.72,135.8,168.0,104.8,,False,58.0,447.0,,19.0,,"32.941307,-117.154092",,,,b16859878,False,False,False,True,11,4,0,2,6,0,0,,Garmin Forerunner 255S,a16762009669
