segment_id,segment_name,segment_city,segment_state,segment_distance_m,segment_avg_grade,start_lat,start_lng,sport_types,effort_count,first_effort,last_effort,best_time_s,worst_time_s,pr_date,recent_trend,avg_heartrate
6105638,Sylvia St Climb,Lexington,MA,451.8,8.9,42.425353,-71.193437,Run,11,2024-10-13 13:57:42,2025-05-16 11:34:43,189,231,2025-01-15 13:56:39,-0.4,161.9
9538847,Cobblestone,San Diego,California,168.3,-6.8,32.934011,-117.177773,MountainBikeRide,11,2025-09-04 13:01:13,2026-05-18 15:45:56,32,46,2026-02-13 15:48:39,-0.4,134.4
12231425,Duck Pond to kip-up,San Diego,California,457.4,-2.8,32.933752,-117.177642,MountainBikeRide,11,2025-09-04 13:01:24,2026-05-18 15:46:01,92,150,2025-12-03 11:19:23,4.8,135.8
732051,2 Bridges - Eastbound,San Diego,CA,445.121,3.3,32.926039,-117.18216,MountainBikeRide,11,2025-09-04 13:09:08,2026-06-16 15:31:33,146,234,2025-11-25 14:03:56,19.1,158.8
9254160,PQ Falls to Salix,San Diego,California,1281.0,0.6,32.928935,-117.175589,MountainBikeRide,11,2025-09-04 13:13:39,2026-06-16 15:36:59,254,340,2026-06-01 15:44:34,1.1,139.7
41655842,Run Salix out to PV,San Diego,California,566.0,3.4,32.937484,-117.157058,Run,11,2025-09-18 09:54:23,2026-06-20 12:02:59,202,326,2025-10-13 14:01:35,10.8,160.3
8429293,?,San Diego,California,181.1,0.3,32.930363,-117.176575,MountainBikeRide,11,2025-10-24 13:47:12,2026-06-16 14:57:56,36,60,2026-05-18 15:18:50,-1.3,144.9
1573579,East of Lower Cobbles Up ,San Diego,CA,429.129,2.9,32.9303079564431,-117.17599304403846,MountainBikeRide,11,2025-10-24 13:47:16,2026-06-16 14:58:00,112,154,2026-05-18 15:18:54,-0.7,152.5
8468966,Hydroplane,San Diego,California,116.3,-1.0,32.934032,-117.17705,MountainBikeRide,11,2025-10-24 13:49:42,2026-06-16 15:00:19,30,302,2025-12-03 11:00:34,39.2,142.6
9531701,Track Lap (Starting at 100M starting line),San Diego,California,412.0,0.0,32.965292,-117.149806,Run,11,2025-11-02 08:12:57,2025-11-02 08:39:25,107,360,2025-11-02 08:30:09,14.3,155.4
3800781,drop-n-slide,San Diego,CA,293.23,0.6,32.930199075490236,-117.17638925649226,MountainBikeRide,10,2025-09-16 14:09:58,2026-05-18 15:47:42,62,89,2025-12-03 11:21:37,1.3,142.0
25390274,T1,San Diego,California,687.3,1.7,32.95533,-117.161004,MountainBikeRide,10,2025-11-04 15:19:08,2026-06-18 14:57:45,249,372,2026-04-01 15:20:17,3.2,137.6
32831428,Barrel Roll,San Diego,California,520.7,-4.8,32.948213,-117.149242,MountainBikeRide,10,2026-01-23 14:24:52,2026-06-18 15:09:57,90,108,2026-03-16 15:21:41,-2.0,124.2
40848335,Rolling Barrels,San Diego,California,1218.3,-2.7,32.948382,-117.148927,MountainBikeRide,10,2026-01-23 14:25:13,2026-06-18 15:10:14,196,230,2026-01-28 12:37:14,-1.5,128.0
40636500,Cables (Running),San Diego,California,713.6,5.0,32.938932,-117.168962,Run,9,2025-08-03 08:24:04,2026-05-10 10:05:10,261,318,2025-12-13 10:30:37,1.5,160.2
12788329,PQ Falls Upper N to Celata Up,San Diego,California,1217.3,0.6,32.930111,-117.173969,Run,9,2025-08-17 09:14:21,2026-05-02 08:09:56,348,409,2025-10-13 13:51:50,1.7,160.1
9254243,Side Hill to PQ Falls,San Diego,California,1512.2,1.4,32.921598,-117.190378,MountainBikeRide,9,2025-09-23 16:23:14,2026-06-16 15:28:02,376,497,2025-10-24 14:16:51,8.3,149.6
26113218,We are currently assisting other customers. Your call will be answered in the order in which it was received,Natick,Massachusetts,163.4,7.0,42.293266,-71.340153,Run,8,2024-10-21 11:55:37,2025-04-14 12:28:38,60,75,2025-01-09 14:41:07,-0.7,162.1
23747961,NoFcks Cobbles DH,San Diego,California,1435.9,-4.6,32.939595,-117.182315,MountainBikeRide,8,2025-09-16 14:04:00,2026-05-18 15:43:04,284,400,2026-05-18 15:43:04,9.8,127.3
15535765,Cobbles DH,,,997.7,-5.1,32.938932,-117.182518,MountainBikeRide,8,2025-09-16 14:04:08,2026-05-18 15:43:09,165,231,2025-12-03 11:16:33,4.8,123.1
16010282,Cobbles downhill,San Diego,California,507.1,-7.1,32.939392,-117.181512,MountainBikeRide,8,2025-09-16 14:04:26,2026-05-18 15:43:23,79,110,2026-04-22 16:35:43,-3.3,119.0
18086066,Sidehill Bottom,San Diego,California,417.2,-11.5,32.924031,-117.192907,MountainBikeRide,8,2025-09-23 16:19:00,2026-06-16 15:25:07,52,199,2026-04-13 13:58:59,-0.9,128.5
2502500,Darkwood Lite (Park Village Rd to Y),San Diego,CA,807.011,1.5,32.94055860853334,-117.14933078137754,MountainBikeRide,8,2026-02-03 13:34:05,2026-06-18 14:21:11,164,201,2026-02-25 16:05:47,7.2,130.1
36527915,Barrel Burner,San Diego,California,1345.6,2.2,32.94062,-117.149315,MountainBikeRide,8,2026-02-03 13:34:07,2026-06-18 14:21:11,336,411,2026-02-25 16:05:47,13.1,142.7
32866646,Barrel Roll - Reverse,San Diego,California,518.0,5.1,32.947165,-117.146766,MountainBikeRide,8,2026-02-03 13:37:01,2026-06-18 14:24:36,169,212,2026-02-09 12:45:23,5.2,155.2
4449292,Intuit ST to Creek DH,San Diego,CA,825.6,-3.5,32.956581,-117.153336,MountainBikeRide,8,2026-02-03 13:44:32,2026-06-18 14:34:21,193,296,2026-06-18 14:34:21,-15.1,134.3
27790658,test seg,San Diego,California,460.1,-1.2,32.957185,-117.154953,MountainBikeRide,8,2026-02-03 13:45:00,2026-06-18 14:34:47,90,127,2026-03-04 14:19:03,1.4,136.5
10713109,Outofit DH,San Diego,California,286.8,-8.9,32.956276,-117.158371,MountainBikeRide,8,2026-02-03 13:46:50,2026-06-18 14:36:25,66,137,2026-06-18 14:36:25,-10.8,136.8
26289911,Minuteman Maple to Bow,Lexington,Massachusetts,1616.9,-0.3,42.435542,-71.208962,Run,7,2024-10-16 12:14:33,2025-06-28 17:24:22,490,623,2025-05-16 11:25:34,10.3,155.0
22576779,Fork to Fork Puddle Dodge,San Diego,California,1360.7,-0.5,32.937816,-117.1546,"Run,TrailRun",7,2025-05-02 13:11:44,2025-10-30 15:12:30,428,521,2025-07-21 08:37:51,2.5,148.3
2638405,AGM Loop Effort 1,Lexington,MA,330.943,1.1,42.42636517159867,-71.19498347870186,Run,7,2024-10-16 11:42:31,2025-04-23 11:47:03,82,110,2024-11-22 11:44:24,3.4,153.6
17013580,Bacon from Park to Walnut,Natick,Massachusetts,820.7,-0.0,42.297115,-71.355637,Run,7,2024-10-21 11:47:00,2025-04-14 12:20:56,247,275,2025-04-14 12:20:56,-4.4,161.9
2368346,Preserve Way Trail Westbound,San Diego,CA,944.399,-0.6,32.944435947605356,-117.16954660612826,MountainBikeRide,7,2025-09-23 15:59:23,2026-04-22 16:25:22,186,265,2025-10-06 12:46:52,11.8,145.9
797112,Side Hill Down,San Diego,CA,759.52,-9.1,32.92658002115786,-117.19273916445673,MountainBikeRide,7,2025-09-23 16:18:01,2026-04-13 13:58:13,101,252,2026-04-13 13:58:13,10.3,125.6
22802127,PQ Creek Park Access ,San Diego,California,245.2,4.2,32.93809,-117.154049,Run,6,2025-05-02 13:34:19,2026-04-28 15:14:14,87,104,2025-05-02 13:34:19,3.8,165.7
11010767,The Preserve Way Ridge (WB),San Diego,California,944.7,-0.8,32.944424,-117.169589,Run,6,2025-08-03 08:30:06,2026-05-10 10:11:17,291,312,2025-12-13 10:35:56,-0.3,159.6
12788213,Preserve Terrace to Duck Pond,San Diego,California,1224.9,-0.1,32.943087,-117.173894,Run,6,2025-08-03 08:35:02,2026-05-10 10:16:19,358,445,2026-05-10 10:16:19,-18.5,158.8
17473190,Preserve Way to Toyon,San Diego,California,428.7,-2.3,32.94309,-117.173719,MountainBikeRide,6,2025-09-23 16:03:42,2026-04-22 16:29:23,73,83,2025-10-16 12:51:15,0.1,142.3
5286330,Cobbletop to Side hill Bottom,San Diego,CA,2751.6,-2.8,32.939056,-117.182483,MountainBikeRide,6,2025-09-23 16:08:18,2026-04-13 13:49:44,623,840,2026-04-13 13:49:44,-12.0,137.1
6006730,Bridge to Viewpoint Eastbound,San Diego,CA,501.4,3.6,32.926011,-117.183324,MountainBikeRide,6,2025-10-16 13:21:21,2026-06-16 15:30:48,174,220,2026-01-21 15:40:28,-0.4,159.6
15627551,Tunnel 4 Downhill,San Diego,California,1160.8,-5.7,32.94750782935295,-117.16325571258349,MountainBikeRide,6,2025-10-28 14:21:05,2026-05-14 13:02:09,247,418,2026-01-28 12:15:13,23.8,135.5
10772744,RH Slalom Start,San Diego,California,885.9,-4.7,32.948058,-117.162515,MountainBikeRide,6,2025-12-09 13:45:33,2026-06-18 14:50:32,200,306,2026-04-01 15:13:47,-7.6,133.5
682596,Tunnel DH,San Diego,CA,918.63,-4.4,32.94810541905463,-117.16045559383929,MountainBikeRide,6,2025-12-09 13:46:33,2026-06-18 14:51:34,206,272,2026-04-01 15:14:50,4.6,139.0
36384480,Tree Y/T 1 split ,San Diego,California,562.0,-2.8,32.951165,-117.159808,MountainBikeRide,6,2025-12-09 13:48:32,2026-06-18 14:53:17,125,188,2026-04-01 15:16:26,0.2,143.3
6445288,Lex Town Track,Lexington,MA,422.4,0.0,42.446011,-71.236147,Run,5,2025-05-11 13:21:55,2025-06-13 10:54:22,96,306,2025-06-13 10:49:19,-40.7,160.7
26243551,Munroe Station - Maple St Climb,Lexington,Massachusetts,663.5,0.3,42.440735,-71.213052,Run,5,2024-10-16 12:10:48,2025-05-31 17:15:15,210,232,2025-02-12 12:11:38,-3.2,157.0
31424188,Southside singletrack to Pen Crossing,San Diego,California,748.0,-0.3,32.937096,-117.142388,Run,5,2025-07-24 08:47:22,2026-03-27 08:38:48,243,275,2025-08-20 08:52:23,5.4,154.2
31600171,TSF to Carmel Mtn. Rd,San Diego,California,664.6,1.9,32.956677,-117.153172,Run,5,2025-08-10 08:37:03,2026-01-04 09:04:53,211,237,2025-12-27 09:26:39,0.9,162.5
40391437,CDS Bomb,San Diego,California,1256.3,-3.4,32.950856,-117.151681,Run,5,2025-08-10 08:40:55,2026-01-04 09:08:58,361,398,2025-12-27 09:30:17,-3.1,160.3
17083244,Side Hill to Little Waimea,San Diego,California,1204.0,-1.2,32.919942,-117.192266,"Run,TrailRun",5,2025-08-17 08:42:13,2025-12-07 09:50:26,388,423,2025-08-31 08:07:40,-3.9,156.7
11820789,Appendix Drop,San Diego,California,556.8,-5.2,32.939419,-117.18216,MountainBikeRide,5,2025-09-16 13:53:44,2026-05-18 15:33:46,119,155,2025-12-03 11:07:54,-5.9,122.8
11645242,Cobbles Appendix,San Diego,California,726.9,-2.4,32.938759,-117.18307,MountainBikeRide,5,2025-09-16 13:54:23,2026-05-18 15:34:21,192,254,2025-12-03 11:08:28,-8.2,130.3
5100023,xox 9,San Diego,CA,2168.7,-0.3,32.944473,-117.169502,MountainBikeRide,5,2025-09-23 15:59:21,2026-04-22 16:25:22,445,656,2025-10-06 12:46:49,3.2,139.7
16611259,Cobbles UP FULL,,,902.7,5.2,32.934154,-117.17783,MountainBikeRide,5,2025-10-24 13:50:11,2026-06-16 15:02:45,337,362,2025-10-24 13:50:11,4.1,157.7
32891997,T4 with rim job foreplay,San Diego,California,2021.5,-2.9,32.946039,-117.168298,MountainBikeRide,5,2025-10-28 14:16:16,2026-03-16 15:01:25,427,540,2026-01-28 12:12:04,-23.3,135.8
13413902,Hill-park-to-Elbow,San Diego,California,896.4,6.1,32.971627,-117.117237,MountainBikeRide,5,2025-12-11 13:11:57,2026-05-24 09:24:26,423,541,2026-05-24 09:24:26,-19.5,135.5
9516036,Conversion,San Diego,California,345.0,3.3,32.975181,-117.111088,MountainBikeRide,5,2025-12-11 13:19:15,2026-05-24 09:31:09,174,341,2026-01-08 13:17:08,4.4,142.3
14792557,Quick up T4,San Diego,California,2400.8,1.3,32.956029,-117.15316,MountainBikeRide,5,2026-02-03 13:44:13,2026-06-18 14:34:04,876,998,2026-06-18 14:34:04,-4.9,143.5
663783,Tunnel Climb,San Diego,CA,906.77,5.9,32.95437089167535,-117.16600952669978,MountainBikeRide,5,2026-02-03 13:52:01,2026-06-18 14:41:09,417,461,2026-02-09 13:01:33,8.5,160.4
20282158,Hormel 400,Medford,Massachusetts,401.6,0.0,42.408521,-71.096217,Run,4,2025-06-21 10:16:40,2025-06-21 10:21:30,91,101,2025-06-21 10:16:40,0.7,161.2
1502313,Arlington Track,Arlington,MA,405.26,-0.9,42.419443018734455,-71.16200882010162,Run,4,2025-05-24 09:00:18,2025-05-24 09:25:37,201,976,2025-05-24 09:00:18,102.7,83.7
2980715,Battle Road West (first half),Lexington,MA,3165.92,0.3,42.44739046320319,-71.26479165628552,Run,4,2024-11-29 08:50:11,2025-05-11 08:57:05,1053,1127,2025-05-11 08:57:05,4.8,150.3
36961090,Revere to Smith,Lincoln,Massachusetts,883.8,0.5,42.448993,-71.2796,Run,4,2024-11-29 08:58:11,2025-05-11 09:05:07,290,295,2024-12-07 13:12:33,-0.4,154.6
8715376,Battle Road 800m Sprint,Lincoln,Massachusetts,777.1,0.9,42.450462,-71.289462,Run,4,2024-11-29 09:03:31,2025-05-11 09:10:22,260,279,2025-05-11 09:10:22,-0.5,155.5
9447511,Battle Road Climb,,Massachusetts,633.5,3.3,42.453641,-71.303058,Run,4,2024-11-29 09:21:01,2025-05-11 09:35:33,229,272,2025-05-11 09:35:33,-1.1,155.4
25674528,Battle Road 800m Sprint EB,Lincoln,Massachusetts,788.9,0.0,42.454884,-71.296629,Run,4,2024-11-29 09:26:11,2025-05-11 09:40:22,243,281,2025-05-11 09:40:22,0.5,155.2
10518482,Smith to Revere,Lincoln,Massachusetts,887.5,-0.1,42.450513,-71.288526,Run,4,2024-11-29 09:30:49,2025-05-11 09:44:50,297,330,2024-12-07 13:54:04,-0.3,155.2
25180596,Battle Road Fast Finish,Hanscom Air Force Base,Massachusetts,1631.0,0.1,42.449162,-71.281496,Run,4,2024-11-29 09:35:00,2025-05-11 09:48:49,531,588,2025-05-11 09:48:49,3.4,154.8
2162786,End of run quarter,Lexington,MA,526.225,-0.7,42.45047500360985,-71.27029429196499,Run,4,2024-11-29 09:40:47,2025-05-11 09:54:32,167,186,2024-11-29 09:40:47,2.3,152.4
5229756,Half way down,San Diego,CA,754.2,-6.1,32.944217,-117.169234,MountainBikeRide,4,2025-08-12 14:08:43,2025-11-12 13:37:09,108,159,2025-11-12 13:37:09,-15.9,126.0
22802113,Bridge Bypass ,San Diego,California,459.0,-3.5,32.927385,-117.178761,"Run,TrailRun",4,2025-08-17 08:32:08,2025-10-30 15:27:04,186,196,2025-08-17 08:32:08,0.2,156.8
12695206,PQ Wagon Wheel to Waterfall,San Diego,California,3117.3,1.2,32.91497,-117.202776,"Run,TrailRun",4,2025-08-17 08:49:45,2025-12-07 10:03:25,1184,1324,2025-08-31 08:25:05,-34.2,160.8
17489599,Little Waimea to Side Hill,San Diego,California,1153.8,1.4,32.916013,-117.201775,"Run,TrailRun",4,2025-08-17 08:53:57,2025-12-07 10:04:06,400,524,2025-12-07 10:04:06,3.2,161.3
14858155,Full Appendix CW,,,1124.2,0.3,32.939383,-117.182696,MountainBikeRide,4,2025-09-16 13:53:53,2026-05-18 15:34:32,468,572,2025-12-03 11:08:03,-22.2,141.0
36120975,Appendix Cobbler,San Diego,California,2440.3,-1.8,32.939471,-117.183024,MountainBikeRide,4,2025-09-16 13:53:59,2026-05-18 15:34:36,663,818,2026-01-17 14:13:12,-43.6,137.8
17213599,Up & Out my Appendix,San Diego,California,470.0,6.8,32.94036,-117.186128,MountainBikeRide,4,2025-09-16 13:58:15,2026-05-18 15:37:26,257,289,2025-12-03 11:11:19,-0.5,148.3
6338714,East Deer Canyon  (west),San Diego,CA,446.9,-1.9,32.955324,-117.165003,MountainBikeRide,4,2025-10-28 14:30:30,2026-04-25 14:10:14,127,183,2026-03-04 14:26:38,-3.8,146.4
31590404,Mobil to Park Village TT,San Diego,California,1888.2,-1.4,32.956311,-117.153022,MountainBikeRide,4,2025-11-04 15:31:26,2026-02-09 13:58:08,280,472,2025-12-16 13:36:05,54.8,133.4
40233738,CMR to round about,San Diego,California,977.9,-3.0,32.950718,-117.151888,MountainBikeRide,4,2025-11-04 15:33:33,2026-02-09 14:03:36,114,120,2026-02-09 14:03:36,-0.5,133.2
39441227,CDS Drop,San Diego,California,996.4,-4.2,32.949497,-117.150405,MountainBikeRide,4,2025-11-04 15:34:09,2026-02-09 14:04:12,106,117,2026-02-09 14:04:12,-3.5,128.0
3171205,Lake to top of SH,San Diego,CA,2738.98,1.8,32.93417528271675,-117.17778836376965,MountainBikeRide,4,2025-11-25 13:38:26,2026-06-16 15:02:45,785,894,2025-11-25 13:38:26,27.9,148.4
669981,PQ Cyn Lake to Carmel Mnt. Rd,San Diego,CA,924.28,5.5,32.93447834788804,-117.177797348791,MountainBikeRide,4,2025-11-25 13:38:35,2026-01-23 13:36:44,407,421,2026-01-23 13:36:44,-0.7,153.3
3516567,PQ Crk Park - Canyonside ,San Diego,CA,1045.51,0.6,32.94001176953316,-117.14972256682813,MountainBikeRide,4,2025-12-05 15:20:04,2026-06-02 13:57:57,200,238,2025-12-05 15:20:04,11.3,134.3
4467141,PQ express route,San Diego,CA,604.8,0.7,32.939956,-117.147192,MountainBikeRide,4,2025-12-05 15:20:52,2026-06-02 13:58:58,105,123,2025-12-05 15:20:52,5.1,132.2
1686229,PQ TT Sprint,San Diego,CA,1000.01,-0.2,32.94012827798724,-117.14654071256518,MountainBikeRide,4,2025-12-05 15:21:00,2026-06-02 13:59:10,184,263,2025-12-05 15:21:00,2.4,135.2
6609008,Ridgewood Singletrack,San Diego,CA,1170.5,1.2,32.940523,-117.128784,MountainBikeRide,4,2025-12-05 15:27:29,2026-06-02 14:06:10,266,311,2025-12-05 15:27:29,14.3,146.6
933936,Ridgewood to Black Mountain Road,San Diego,CA,1315.17,-1.2,32.94540342874825,-117.11712316609919,MountainBikeRide,4,2025-12-05 15:33:22,2026-06-02 14:25:52,281,306,2025-12-05 15:33:22,7.9,151.6
15958581,Edge of Heaven,San Diego,California,396.6,1.4,32.977243,-117.109627,MountainBikeRide,4,2025-12-11 13:22:53,2026-05-24 09:34:13,137,178,2026-03-22 09:13:27,-5.0,146.9
12558278,Chi's Grater,San Diego,California,297.8,8.3,32.955459,-117.160725,MountainBikeRide,4,2025-12-16 13:29:11,2026-03-16 15:11:57,193,223,2026-01-28 12:26:50,-3.0,157.4
1852547, Intuit ST - Eastbound,San Diego,CA,801.25,3.5,32.95559766702354,-117.1607104036957,MountainBikeRide,4,2025-12-16 13:29:20,2026-03-16 15:12:01,360,392,2026-03-16 15:12:01,-10.5,154.5
11387573,SDMBA bypass up,,,456.8,5.3,32.980598,-117.108394,MountainBikeRide,4,2025-12-29 12:30:10,2026-05-24 09:36:37,281,370,2026-01-08 13:22:53,20.7,151.6
15281474,Mystic St-MVP to Old Mystic,Arlington,Massachusetts,1181.1,0.9,42.419982,-71.15214,Run,3,2024-11-24 10:00:31,2025-06-05 06:31:30,363,405,2025-03-30 14:32:20,13.0,148.2
3883979,Minuteman - Grant Street to Four Seasons,Lexington,MA,1269.62,-0.7,42.44762,-71.22488,Run,3,2024-10-16 12:03:52,2025-05-31 17:08:31,395,417,2025-05-31 17:08:31,-6.5,159.8
8691502,Bike Path: Woburn St to Maple,Lexington,Massachusetts,1500.9,-0.0,42.446208,-71.219941,Run,3,2024-10-16 12:06:17,2025-05-31 17:10:47,481,512,2025-05-31 17:10:47,-6.0,158.5
16836185,AHS Track from other side,Arlington,Massachusetts,416.6,-0.0,42.419646,-71.160885,Run,3,2025-05-24 09:01:04,2025-05-24 09:21:56,300,960,2025-05-24 09:01:04,33.5,81.7
21097406,Sports Arena to TraderJoes,,,1260.7,1.1,42.425549,-71.173968,Run,3,2024-11-18 11:28:44,2025-05-05 09:28:01,379,416,2025-04-23 11:30:51,-5.0,157.8
21197328,Hurd Field to Ed Burns Arena,Arlington,Massachusetts,1182.0,-1.2,42.425678,-71.188535,Run,3,2024-11-18 11:35:43,2025-05-05 09:40:44,361,386,2025-03-12 17:15:43,-9.5,163.9
29683791,Bridge to bridge Arlington minuteman bike path ,Arlington,Massachusetts,100.3,-1.1,42.425459,-71.182085,Run,3,2024-11-18 11:38:32,2025-05-05 09:43:25,27,30,2025-03-12 17:18:18,0.5,166.7
14206728,Minuteman East (Mile) - Park to Grove,Arlington,Massachusetts,1671.3,-1.6,42.425438,-71.181981,Run,3,2024-11-18 11:38:34,2025-05-05 09:43:27,495,518,2025-03-12 17:18:20,-9.5,163.1
14705294,Bow Street to Skate Rink,Arlington,Massachusetts,485.8,-1.2,42.425806,-71.178256,Run,3,2024-11-18 11:40:07,2025-05-05 09:44:59,141,153,2025-05-05 09:44:59,-6.0,163.6
14207085,Minuteman East (Mile) - Ryder to Mill,Arlington,Massachusetts,1625.3,-1.1,42.425507,-71.174423,Run,3,2024-11-18 11:41:51,2025-05-05 09:46:35,481,505,2025-03-12 17:21:27,-9.0,161.4
2522183,Hill's Hill to Grove St.,Arlington,MA,821.148,-1.5,42.4243256,-71.1720404,Run,3,2024-11-18 11:43:06,2025-05-05 09:47:44,243,253,2025-03-12 17:22:38,-2.5,161.2
18119162,USPS parking lot from above,Boston,Massachusetts,224.5,0.3,42.348042,-71.045565,Run,3,2025-01-21 17:04:36,2025-01-23 07:40:21,65,76,2025-01-23 07:40:21,-5.5,154.7
2518592,Fiske Hill on Minuteman Trail,Lexington,MA,235.57,5.6,42.448714,-71.261558,Run,3,2024-11-29 09:45:45,2025-01-11 12:58:29,94,99,2024-11-29 09:45:45,0.5,144.4
6340999,Whaleback,Enfield,NH,249.0,-12.4,43.595645,-72.183501,AlpineSki,3,2024-12-28 12:56:56,2024-12-28 13:20:08,54,75,2024-12-28 13:20:08,-10.5,100.8
6344964,Upper Spout,Enfield,NH,140.0,-25.6,43.597487,-72.182416,AlpineSki,3,2024-12-28 12:58:09,2024-12-28 13:21:01,27,34,2024-12-28 13:21:01,-3.5,110.0
6341027,Bougainvillea,Enfield,NH,142.4,-31.8,43.597993,-72.180725,AlpineSki,3,2024-12-28 12:58:44,2024-12-28 13:21:29,18,28,2024-12-28 13:10:19,-3.5,108.5
6341059,Scrimshaw,Enfield,NH,238.7,-18.9,43.599637,-72.17815,AlpineSki,3,2024-12-28 12:59:42,2024-12-28 13:22:18,24,32,2024-12-28 13:10:59,-2.0,118.0
1387457,Power Line Descent,San Diego,CA,1346.87,-5.0,32.944051092521235,-117.1680194233704,MountainBikeRide,3,2025-08-12 14:07:33,2025-10-28 15:03:16,236,326,2025-10-28 15:03:16,-45.0,124.5
21766566,Powerlines 2nd half,San Diego,California,610.6,-3.0,32.93876,-117.169107,MountainBikeRide,3,2025-08-12 14:11:29,2025-10-28 15:05:54,103,121,2025-10-28 15:05:54,-9.0,128.4
40797660,Miner's Downhill,San Diego,California,1744.4,-6.5,32.985011,-117.113653,TrailRun,3,2025-08-15 10:01:15,2026-04-20 15:45:24,655,770,2025-08-15 10:01:15,26.0,147.6
6813831,~~ Camru to Carson's ~~,San Diego,CA,1704.1,-0.8,32.936398,-117.152146,Run,3,2025-08-22 09:25:08,2026-04-18 07:43:07,542,585,2025-08-22 09:25:08,21.5,155.5
27190274,Hill to Finish,San Diego,California,318.1,0.2,32.926563,-117.173899,Run,3,2025-08-22 09:39:23,2026-04-18 07:58:17,111,120,2025-09-12 10:44:08,4.0,163.0
2198770,Run to the Sh*ts DH,San Diego,CA,753.114,-0.9,32.94202191758244,-117.17093749914055,MountainBikeRide,3,2025-09-04 12:50:58,2026-02-13 15:43:49,133,147,2026-02-06 15:34:49,-1.5,145.6
926568,Sh*ts DH,San Diego,CA,501.296,-9.8,32.93696998023375,-117.1746116529368,MountainBikeRide,3,2025-09-04 12:53:25,2026-02-13 15:46:13,126,451,2026-02-06 15:37:02,-161.0,141.3
3536699,Sh*ts Upper Switchbacks,San Diego,CA,148.405,-9.0,32.93595375496236,-117.1747060866255,MountainBikeRide,3,2025-09-04 12:55:18,2026-02-13 15:46:40,37,218,2026-02-06 15:37:32,-89.5,139.0
3536692,Sh*ts Lower Switch Backs,San Diego,CA,205.2,-9.8,32.93466369624523,-117.17495569970195,MountainBikeRide,3,2025-09-04 12:58:56,2026-02-13 15:47:19,50,102,2026-02-06 15:38:09,-24.5,145.2
991790,West Rim Clockwise,San Diego,CA,586.181,-0.0,32.947964272692886,-117.16953699913134,MountainBikeRide,3,2025-09-11 09:57:59,2026-02-09 13:16:24,137,163,2026-02-09 13:16:24,-13.0,140.1
9215704,Canyonside return,San Diego,California,962.2,0.1,32.940071,-117.146305,Run,3,2025-10-09 13:37:39,2026-03-27 08:26:53,321,337,2026-02-11 16:48:02,-3.0,147.0
